DGRP	sex	TG_C	TG_H	TG_S	TG_B
line_21	NA	7.631	3.728	3.997	5.675
line_26	NA	5.044	6.549	7.856	8.931
line_28	NA	3.198	5.159	5.14	8.231
line_31	NA	3.061	4.706	3.065	6.048
line_41	NA	NA	15.049	4.433	8.028
line_48	NA	NA	5.286	4.671	NA
line_69	NA	NA	4.495	NA	NA
line_73	NA	NA	1.62	3.645	8.553
line_75	NA	NA	4.109	4.198	NA
line_83	NA	NA	7.873	3.601	2.819
line_85	NA	NA	5.018	4.265	4.117
line_109	NA	NA	9.419	6.563	NA
line_138	NA	NA	5.628	3.88	NA
line_142	NA	NA	3.652	3.752	3.351
line_189	NA	NA	8.031	3.377	7.262
line_195	NA	4.982	2.442	6.163	7.221
line_208	NA	5.26	4.675	4.664	6.321
line_217	NA	NA	5.44	4.342	8.699
line_239	NA	NA	3.766	4.2	8.37
line_256	NA	NA	2.647	3.01	2.733
line_301	NA	7.759	3.946	4.769	6.369
line_304	NA	7.428	3.717	4.229	5.37
line_306	NA	7.129	4.127	5.568	2.221
line_307	NA	6.891	5.699	4.926	3.477
line_313	NA	6.641	3.656	4.936	7.504
line_315	NA	6.288	1.972	5.159	6.443
line_324	NA	5.337	2.71	7.471	6.26
line_332	NA	NA	4.459	NA	5.74
line_335	NA	7.253	5.312	4.705	7.463
line_352	NA	NA	4.627	3.537	NA
line_355	NA	NA	7.567	NA	5.666
line_357	NA	8.111	5.568	3.53	5.145
line_358	NA	NA	5.604	NA	NA
line_360	NA	4.03	7.919	6.162	8.513
line_361	NA	3.999	5.485	5.956	5.729
line_362	NA	4.644	5.76	3.18	6.544
line_365	NA	5.483	4.791	5.21	4.942
line_374	NA	7.108	4.295	5.309	4.306
line_375	NA	4.194	4.41	6.121	7.352
line_377	NA	NA	5.58	NA	6.645
line_379	NA	8.041	5.407	5.61	7.653
line_380	NA	5.225	6.271	4.586	7.288
line_383	NA	NA	5.437	3.781	7.07
line_386	NA	NA	4.883	4.003	8.943
line_391	NA	5.489	3.492	4.558	4.778
line_395	NA	6.105	5.223	4.106	3.752
line_399	NA	6.867	3.616	5.879	4.563
line_405	NA	NA	5.027	NA	4.673
line_426	NA	4.512	4.207	5.065	9.519
line_427	NA	3.471	3.472	2.743	7.43
line_437	NA	6.486	5.894	4.79	5.814
line_461	NA	NA	6.02	2.634	3.004
line_486	NA	6.766	5.289	4.922	6.639
line_491	NA	NA	NA	3.822	9.639
line_492	NA	NA	5.837	5.244	4.226
line_509	NA	NA	6.152	4.794	4.384
line_513	NA	NA	6.713	4.691	2.362
line_517	NA	6.45	6.036	6.261	4.456
line_528	NA	NA	NA	3.005	4.013
line_530	NA	5.846	6.891	4.796	2.575
line_555	NA	7.578	7.469	8.201	4.733
line_563	NA	NA	3.229	3.821	NA
line_566	NA	NA	6.602	NA	NA
line_589	NA	NA	5.248	4.129	5.389
line_630	NA	NA	4.075	3.57	3.341
line_634	NA	NA	4.776	3.771	3.125
line_639	NA	NA	3.26	2.683	4.809
line_646	NA	NA	NA	6.635	NA
line_705	NA	6.544	5.406	3.313	3.86
line_707	NA	9.888	4.926	4.988	5.889
line_712	NA	7.072	3.425	4.493	5.389
line_714	NA	5.96	3.082	4.691	4.135
line_716	NA	5.412	6.395	3.95	5.8
line_727	NA	NA	5.323	4.287	NA
line_730	NA	NA	6.531	4.575	NA
line_732	NA	4.581	5.207	4.015	5.274
line_765	NA	3.838	9.575	5.597	7.076
line_774	NA	4.213	0.607	3.261	7.12
line_776	NA	4.512	6.182	3.913	8.988
line_783	NA	NA	3.749	5.149	7.718
line_786	NA	5.693	5.744	7.115	5.91
line_787	NA	NA	NA	NA	NA
line_796	NA	NA	3.622	4.911	8.366
line_799	NA	6.007	4.768	3.844	6.944
line_804	NA	NA	4.15	5.998	NA
line_819	NA	5.424	4.8	6.535	5.022
line_820	NA	7.537	4.453	6.806	7.136
line_822	NA	NA	NA	4.181	6.039
line_837	NA	NA	NA	NA	2.629
line_852	NA	3.556	6.322	4.941	6.377
line_855	NA	NA	5.32	3.163	4.353
line_859	NA	9.625	NA	5.54	NA
line_892	NA	NA	4.668	4.285	7.167
